GSM753432,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM753433,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM753434,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM753435,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM753436,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM753437,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM753438,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM753439,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM753440,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM753441,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM753442,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM753445,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM767341,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM767342,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM767343,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM767344,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM767345,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM767346,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM767347,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM767348,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM767349,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM767350,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM767351,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM767352,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM789280,"
H2BK120ac
      ","
Active Motif
      ","
39119
      ","
255
      "
GSM789281,"
H2BK120ac
      ","
Active Motif
      ","
39119
      ","
255
      "
GSM789284,"
H4K20me1
      ","
Active Motif
      ","
39727
      ","
3610001
      "
GSM807391,"
H2A.Z
      ","
Active Motif
      ","
39113
      ","
256
      "
GSM807392,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM807393,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM807394,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM807395,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM807396,"
H3K23me2
      ","
Abcam
      ","
ab2370
      ","
13694
      "
GSM807397,"
H3K56ac
      ","
Upstate
      ","
07-677
      ","
DAM1462569
      "
GSM807398,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM807399,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM807400,"
H3K79me2
      ","
Active Motif
      ","
39143
      ","
177
      "
GSM807401,"
H3K79me2
      ","
Active Motif
      ","
39143
      ","
177
      "
GSM807402,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
