biosample_property_no	biosample_no	property_name	property_value	is_current	date_created	created_by
7db2cfbc-1cf8-46d2-80ab-aa023a52df6b	K562	tier	1	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1d6b3ac7-996c-4047-a8e7-cc881c4912da	HFL11W	orderUrl	http://www.hudsonalpha.org/myers-lab	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8448f7bb-1071-4639-b5a1-592e38e20844	HFL11W	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1817a7f6-af82-4dbe-8b20-c98bc0600e79	HFL11W	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
22ee13e6-0098-4074-9663-41b0936ec376	HFL11W	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e3cbbfe5-c918-4df5-a91e-8fbe37e09e94	HFL11W	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6eba62d5-477d-49e3-8d91-3913c898b713	HAoAF_6090101.11	orderUrl	http://www.promocell.com/nc/products/human-primary-cells/fibroblasts/human-aortic-adventitial-fibroblasts-haoaf/?sword_list%5B%5D=HAoAF	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dd0059f7-e23a-441d-8dd7-92e02c3604ea	HAoAF_6090101.11	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ccad7454-d844-47ec-a9e7-e7307e18b4d7	HAoAF_6090101.11	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
5b9cc58c-8f41-43e6-9440-2f5ef14d8b4b	HAoAF_6090101.11	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
335ad0ea-36bd-443f-9348-80803d570928	HAoAF_6090101.11	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
9a4e66b7-85e7-455a-b685-0a8bf4d5cab5	HSMMtube	orderUrl	http://www.lonza.com/	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8468bc85-3591-4a19-9507-8c25ac5d172e	HSMMtube	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
231d9c53-8a8a-4ad6-ab2d-176ed511c8b4	HSMMtube	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
