biosample_term_id	biosample_term_name	biosample_label	biosample_type	organism_no	treatment_no	source_no	product_id	lot_id	subcellular_location
BTO:0001079	HTR8svn	HTR8	missing	human	missing	Charles H. Graham, Department of Anatomy & Cell Biology, Queen's University at Kingston, Kingston, Ontario, Canada	HTR8svn	missing	missing
BTO:0001949	HUVEC	HUVEC	missing	human	missing	Lonza	CC-2517	missing	missing
BTO:0002625	HVMF	HVMF	missing	human	missing	ScienCell	7130	missing	missing
BTO:0001975	HVMF_6091203.3	HVMF60912033	missing	human	missing	PromoCell	C-14034	missing	missing
BTO:0001975	HVMF_6100401.3	HVMF61004013	missing	human	missing	PromoCell	C-14034	missing	missing
BTO:0004042	HWP	HWP	missing	human	missing	PromoCell	HWP	missing	missing
BTO:0004042	HWP_0092205	HWP0092205	missing	human	missing	PromoCell	C-14072	missing	missing
BTO:0004042	HWP_8120201.5	HWP81202015	missing	human	missing	PromoCell	C-14072	missing	missing
BTO:0000568	HeLa-S3	HELAS3	missing	human	missing	ATCC	CCL-2.2	missing	missing
AMAD:3341	HeadlessEmbryo	HLEMBRYO	tissue	mouse	missing	Selleri lab, Cornell	HeadlessEmbryo	missing	missing
AMAD:7103	Heart	HEART	tissue	mouse	missing	1)LICR lab; 2)CSHL lab	Heart; Heart	missing	missing
BTO:0000562	Heart_OC	HEARTOC	missing	human	missing	NICHD	1104; 602; 1442; 1863; 4548	missing	missing
BTO:0000562	Heart_STL003	HeartSTL003	missing	human	missing	Snyder lab	STL003	missing	missing
BTO:0000599	HepG2	HEPG2	missing	human	missing	ATCC	HB-8065	missing	missing
BTO:0000599	HepG2b	HEPG2b	missing	human	missing	ATCC	HB-8065	missing	missing
BTO:0000575	Hepatocytes	HEPATO	missing	human	missing	zen-bio	Missing	missing	missing
AMAD:3891	HindlimbBud	HLBUD	tissue	mouse	missing	Selleri lab, Cornell	HindlimbBud	missing	missing
BTO:0001950	Huh-7	HUH7	missing	human	missing	Dr. Ravi Jhaveri at Duke University	Huh-7	missing	missing
BTO:0001950	Huh-7.5	HUH75	missing	human	missing	Dr. Ravi Jhaveri at Duke University	Huh-7.5	missing	missing
BTO:0001229	IMR90	IMR90	missing	human	missing	ATCC	CCL-186	58607680	missing
BTO:0000658	Ishikawa	ISHIKAWA	missing	human	missing	Sigma-Aldrich	99040201	missing	missing
AMAD:174	J185a	J185A	cellLine	mouse	missing	Gilbert lab	J185a	missing	missing
BTO:0001948	Jurkat	JURKAT	missing	human	missing	ATCC	TIB-152	missing	missing
BTO:0000664	K562	K562	missing	human	missing	ATCC	CCL-243	missing	missing
BTO:0000664	K562b	K562b	missing	human	missing	ATCC	CCL-243	missing	missing
AMAD:6960	Kidney	KIDNEY	tissue	mouse	missing	1)Dr. John Stamatoyannopoulos at UW; 2)CSHL lab	Kidney; Kidney	missing	missing
